,Date,UserName,DisplayName,Tweet
0,2022-07-18 14:39:20+00:00,haris_tiger,Haris Ali,@Naya__Pakistan_ You did a fantastic job
1,2022-07-18 14:39:18+00:00,energiminas1,Energiminas,"SerÃ¡ propiedad de #Barrick en un 50%, del Gobierno Provincial de BaluchistÃ¡n en un 25% y de empresas estatales paquistanÃ­es en un 25%. Algunos analistas creen que  inestabilidad polÃ­tica en PakistÃ¡n hacen que este sea un negocio arriesgado.
 https://t.co/aX1bin17SB"
2,2022-07-18 14:39:18+00:00,Amna_tariq_11,Amna Tariq,Election commissioner resign dain..  #ECP_Pakistan_resign
3,2022-07-18 14:39:17+00:00,SILENTLOVE505,Ø®Ø§Ù…ÙˆØ´ Ù…Ø­Ø¨Øª,from pakistan https://t.co/WYSOoCfyjz
4,2022-07-18 14:39:14+00:00,SAnwar43629547,S Anwar,@ARYSabiirShakir Allah onko aisy gham dekhaye ke Pakistan Ka nasunty hi khof tari hojaye en dako ne Pakistani awam ko hrqesm Ka nuqsan drd or taklif di hai hr sata pr di Allah hesab ly inse
5,2022-07-18 14:39:12+00:00,nayabsultan1988,Insulation Experts Pakistan,@SMQureshiPTI Congratulations Uncle. I am son of Malik tehzeeb Hussain from Multan Shahid colony Mda Chowk. my chachu Malik mazhar hussain and my Taya Abu Malik iftikhar Hussain.
6,2022-07-18 14:39:11+00:00,isa_ilerbe_bake,Ilerbe Bake,"This is how they try to mitigate the effect of #heatwave  in #Pakistan.  I am grateful that for us here in Kenya, things haven't gotten this bad. #HIVdeleted https://t.co/QXfLdpKywa"
7,2022-07-18 14:39:10+00:00,Slam_Pakistan,Safdar Abbas Naqvi,https://t.co/3qFCDqOS2v
8,2022-07-18 14:39:10+00:00,ltl_ali,Liaqat Ali Shafqat,Daily The Bebak Urdu News-Pakistan News-Latest News-Breaking NewsÛ” today 18th of July 2022 Manchester  https://t.co/VkEapblyzD
9,2022-07-18 14:39:07+00:00,racks_pk,Racks.pk,#realme9 4G goes on #sale inÂ #Pakistan https://t.co/ceKDi15D1K
10,2022-07-18 14:39:06+00:00,LiTurchi1,ğŸ‡¹ğŸ‡·Emre AydÄ±nğŸ‡¹ğŸ‡·,"@huban6754 @BekirBora7 @Ebru16081787 AtatÃ¼rk ateist olabilir, ne beni ne seni ne de ErkanTrÃ¼kteni ilgilendirir.Dil inkÄ±labÄ± diyerek cehaletini gÃ¶sterme.OsmanlÄ±da anadoluda tebaa TÃ¼rkÃ§e konuÅŸurdu, arap harfleri ile yazardÄ±.AynÄ± bugÃ¼nkÃ¼ pakistan ve iran gibi. Arap harfleri TÃ¼rkÃ§enin fonetik yapÄ±sÄ±na da uygun deÄŸildir"
11,2022-07-18 14:39:06+00:00,tribal61889841,tribal ankush arya,"@Zeeshan38976935 @ShilpiSinghINC The biggest lies of the history that you won people through the beauti .
What about kandhar 
What about parshia 
What about pakistan when now 3% hindu of the whole population 
What about bangladesh 
What about kashmir 1990?
Hypocrite beauti .It's a barbaric of that"
12,2022-07-18 14:39:06+00:00,khuranna_,Khurana,@imetatronink Don't forget India...They have been fighting proxy war with pakistan since 80s
13,2022-07-18 14:39:03+00:00,pak_junoon,Pakistan Mera Junoon,ÚˆØ¬ÛŒÙ¹Ù„ Ù¾Ú¾ÙˆÚ‘ÛŒ Û”Û” Ù„Ù„Ø² https://t.co/7c6xz5AhSS
14,2022-07-18 14:39:03+00:00,JobadPk,Pakistan jobs Alert,"#newjobs #jobs #pakistan #pkjobs #pakistanjobs #Julyjobs #Islamabadjobs
Jobs Positions At Islamabad Feeds Limited
https://t.co/W8nYPtltyr"
15,2022-07-18 14:39:02+00:00,asimrizwan1,ğŸ’šPakistanğŸ’š,@hinaparvezbutt Ø¨Ø§ÙˆÙ„ÛŒ ÛŒÛ Ú©ÙˆÛŒ Ú©Ø±Ú©Ù¹ Ú©Ø§ Ù…ÛŒÚ† Ù†ÛÛŒ ØªÚ¾Ø§ØŒ ÛØ± Ø¬Ú¯Û Ø²Ù„ÛŒÙ„ ÛÙˆÙ†Û’ Ú©Ø§ Ø§ØªÙ†Ø§ Ø´ÙˆÙ‚ Ú©ÛŒÙˆÚº ÛÛ’ ØªÙ… Ù¾Ù¹ÙˆØ§Ø±ÛŒÙˆÚº Ú©ÙˆØŒ Ø§Ø¨ Ú©ÛÙˆ Ú¯ÛŒ ÛŒÛ Ø¨Ù†Ø¯Û Ù…ÛŒÙ† Ø§ÙˆÙ Ø¯ÛŒ Ù…ÛŒÚ† ÛÛ’ ğŸ˜‚ğŸ˜‚ğŸ˜‚
16,2022-07-18 14:38:59+00:00,Pakistan927400,Clear concept,"Ø§Ú†Ú¾Ø§ Ø§ÙˆØ± Ø§Ú¯Ø³Øª Ù…ÛŒÚº Ú©ÛŒØ§ ÛÙˆÚ¯Ø§ ØŸ Û”
Ø§ÙˆØ± Ø¢Ù¾ ÙØ§Ù„ÙˆØ¨ÛŒÚ© Ú©Ø¨ Ø¯ÛŒÙ†Ú¯ÛŒ ØŸ https://t.co/D8RWMntZxr"
17,2022-07-18 14:38:58+00:00,saad_sikandar20,saad sikandar,@MaryamNSharif The nation stands with Imran Khan. The man feels the pain of this nation has the guts to protect Pakistan's sovereignty unlike you and your corrupt father NS.
18,2022-07-18 14:38:55+00:00,Ana_Faja__,SARUğŸ«¶Ä°MRANÄ°ST,"ARE WE SLAVES?? ABSOLUTELY NOT.. 
PAKISTAN MEANS ""Ù„Ø§Ø§Ù„Û Ø§Ù„Ø§Ø§Ù„Ù„Û""
OUR RELATION IS ""Ù„Ø§Ø§Ù„Û Ø§Ù„Ø§Ø§Ù„Ù„Û""
IMRAN KHAN @ImranKhanPTI
 #ÛÙˆÚ¯Ø¦ÛŒ_Ø§Ù†ØµØ§Ù_Ú©ÛŒ_Ø¬ÛŒØª https://t.co/8vjB3CGiGw"
19,2022-07-18 14:38:55+00:00,Ronin_0306,Fareed,@ZunairaAzhar10 @ECP_Pakistan @MaryamNSharif If Imran khan still rant about election commission then everyone has the right to demand what they desire
20,2022-07-18 14:38:55+00:00,AnilKum21958883,Anil Kumar,Bastards of west have perfected the art of this wilful ignorance of genocide by the monsters they sponsor . In Pakistan while genocide of Bengali speaking was ON vile west threatened India with nuclear attack.
21,2022-07-18 14:38:55+00:00,Salehasyed22,Saleha,@MALHACHIMI @ImranKhanPTI Thank you so much we finally have a proper leader alhamdulilah. May Allah tala have mercy on the people of Pakistan and help it become the nation which Mohammed Ali Jinnah had dreamt of when he was fighting to build a Muslim nation called Pakistan in 1947
22,2022-07-18 14:38:55+00:00,jeeveypakistan,Editor Jeevey Pakistan (Salik Majeed ),Ù…ÙˆÙ¹Ø± Ø³Ø§Ø¦ÛŒÚ©Ù„ Ú©Û’ Ø³Ø§ØªÚ¾ Ø³Ø§ØªÚ¾  Ú©Ø¨ÙˆØªØ± Ø§Ú‘Ø§Ù†Û’ Ú©Ø§ Ù…Ø¸Ø§ÛØ±Û https://t.co/mRJQqddk8i via @YouTube
23,2022-07-18 14:38:54+00:00,caskasweet,Rise again,"@GovtofPakistan 
@nytimes 
@IFJGlobal 
@amnesty 
New poison killing youth. #shisha #vaping now  #nicotine #Velo sold cheap. Not banned because #tobaccomafia
Reynolds American Inc distributed byÂ Pakistan Tobacco CompanyÂ govt afraid promoted by celebs and greedy media like #Synergy https://t.co/LjlyWuA17J"
24,2022-07-18 14:38:50+00:00,PakistanTrave16,Pakistan Traveler,"https://t.co/pjE2SBW8g7

#Montagslaecheln"
25,2022-07-18 14:38:48+00:00,red3502508,red3502508â™¥ï¸ğŸ…°ï¸â™¥ï¸ ğŸ‡µğŸ‡°ğŸŒŸğŸ‡µğŸ‡°,Ø¢Ø®Ø±Øª Ú©Û’ Ø¨Ú¾ÛŒ Ø§ÙˆØ± Ø¯Ù†ÛŒØ§ Ú©Û’ Ø¨Ú¾ÛŒ Ú†Ø§Ú†Û’ ØªÛ’ Ù…Ø§Ù…Û’ @Tehseen777 @Naya__Pakistan_ @FaizulH26299723 @1000sWolfs @Lalma_1 @CollectiveSprk @soldierspeaks https://t.co/usrUFc1D1W
26,2022-07-18 14:38:47+00:00,Aro0j_taj,Aro0j_Taj,@Naya__Pakistan_ Beshak
27,2022-07-18 14:38:46+00:00,Shalmeen34,Abdul samad,@MissTooter1 Hayeee sadqy jawan jisne tosha khana ki watch tak ko nahi chora ussy aur kita tawaqo ki ja skati aur kiya kaha stable 2018 tak kitni Khushi khushi Zindagi guzar rahi thi pata nahi kahan se ye azaab ban kar aaya aur pure Pakistan se saari khushiyan ur gayeee
28,2022-07-18 14:38:46+00:00,therock_yasir,yasir hussain,"@fursan1232 @MirMAKOfficial Bhai mere jahangir tareen naraz ho gaya hataya nahi tha,khan corrupt nahi hay khan k Sath log corrupt hen khan incompetent hay 3.5 years mei kuch deliver nahi kar saka 50 lac ghar app ne dekhey hen? Police reforms ho gai? Poray Pakistan mei aik hÃ© education system ho gaya?"
29,2022-07-18 14:38:45+00:00,ThePseudoDr,Aamir,Pakistan desperately need political stability for economic stability. Sooner the better. https://t.co/lGzla6Rg6R
30,2022-07-18 14:38:45+00:00,HADi68607665,H A D i,"ØªÙ… Ø¬ÛŒØªÙˆ ÛŒÛ ÛŒØ§Ø±Ùˆ ÛÙ…ÛŒÚº ØªÙ… Ø³Û’ Ù¾ÛŒØ§Ø± ÛÛ’
#pmln_k_sher 
#pakistan_zindabas"
31,2022-07-18 14:38:42+00:00,Aviators_Qazi,Love Pakistan Or Leave It,@SafinaKhann ÙˆÛÛŒ Ø³Ø§Ø²Ø´ Ø§ÙˆØ± Ù…Ø¯Ø§Ø®Ù„Øª Ú©ÛŒ Ø·Ø±Ø­ Ú©Ø§ Ú†ÙˆØ±Ù†
32,2022-07-18 14:38:42+00:00,PakistanTrave16,Pakistan Traveler,"https://t.co/pjE2SBW8g7

#Gurkenzitate"
33,2022-07-18 14:38:40+00:00,ShahOfPakistan,Shazeb Asad,"Ú¯Ú¾Ø³ Ø¨ÛŒÙ¹Ú¾ÛŒÙˆ
Ù†ÛŒÚ†Û’ Ø§ØªØ±Ùˆ Ú©Ø±Ø³ÛŒ Ø³Û’

 #Ø§Ù„ÛŒÚ©Ø´Ù†_Ú©Ù…Ø´Ù†Ø±_Ø§Ø³ØªØ¹ÙÛŒ_Ø¯Ùˆ"
34,2022-07-18 14:38:39+00:00,JustusJoker,"JustusJoker, Banana Republic of Pakistan",@kaikausMir @Atta_Leo_1977 Ù†ÙˆØ§Ø²Ø´Ø±ÛŒÙ Ú©Ùˆ ÛÙ…ÛŒØ´Û Ú©ÛŒ Ø·Ø±Ø­ Ø¨Ø±ÛŒ Ú†Ú‘Ú¾Ø§ Ø¯ÛŒØ§ Ú¯ÛŒØ§
35,2022-07-18 14:38:36+00:00,M_EssJay,Salman Javed,@Histeeks Did IK say that if I won't come back in power I'll break away KP from Pakistan. Not that it's logically or rationally possible on ground. But if he said so pls do refer me to some authentic proof for the same.
36,2022-07-18 14:38:34+00:00,PakistanTrave16,Pakistan Traveler,"https://t.co/pjE2SBW8g7

#AnneWill"
37,2022-07-18 14:38:34+00:00,IshaMemon4,Isha Memon,Karachi: A hybrid meeting of the Central Executive Committee of the party was held under the chairmanship of President of Pakistan Peoples Party Parliamentarians @AAliZardari and Chairman PPP @BBhuttoZardari https://t.co/PZBqrw9bbq
38,2022-07-18 14:38:29+00:00,zahid_bhanbhro,Zahid Bhanbhro,"Ù‚ÙˆÙ…ÙŠ Ø¹ÙˆØ§Ù…ÙŠ ØªØ­Ø±ÙŠÚª ÚªØ±Ø§Ú†ÙŠ Û¾ Ø§Ø³ØªØ§Ø¯Ù† ØªÙŠ ØªØ´Ø¯Ø¯ØŒ Ù†ÙŠØ§Ú»ÙŠÙ† Ø¬ÙŠ ØªÙˆÚ¾ÙŠÙ† Û½ Ú¯Ø±ÙØªØ§Ø±ÙŠÙ† Ø¬ÙŠ Ø´Ø¯ÙŠØ¯ Ù…Ø°Ù…Øª Û½ Ú©ÙŠÙ† Ø¢Ø²Ø§Ø¯ ÚªØ±Ú» Ø¬Ùˆ Ù…Ø·Ø§Ù„Ø¨Ùˆ ÚªØ±ÙŠ Ù¿ÙŠ.

Ø§ÙŠØ§Ø² Ù„Ø·ÙŠÙ Ù¾Ù„ÙŠØ¬Ùˆ
@MuradAliShahPPP 
@SaeedGhani1 
@sardarshah1 
@AyazLatifPalijo 
@QAT_Pakistan"
39,2022-07-18 14:38:29+00:00,RanaBilalPTI,Rana Bilal Tahir,â€œThereâ€™s only one way ahead for Pakistan: free and fair electionsâ€-@ImranKhanPTI #Ø§Ù„ÛŒÚ©Ø´Ù†_Ú©Ù…Ø´Ù†Ø±_Ø§Ø³ØªØ¹ÙÛŒ_Ø¯Ùˆ https://t.co/gqyIxkF612
40,2022-07-18 14:38:29+00:00,Mudassar9102308,Mudassar Nazar,@ImJaveria @maroof_bismah One more great look Pakistan skipper
41,2022-07-18 14:38:29+00:00,Virathu007,BC Popat,"@WIONews @ollybarratt Will @daniel86cricket relocate to his newly found father, Pakistan?"
42,2022-07-18 14:38:27+00:00,WardaIOS,W A R D A ğŸ‡µğŸ‡°â¤ï¸,Future Pm of Pakistan ğŸ‡µğŸ‡°â¤ï¸ğŸ™Œ https://t.co/SCmr5YeRq8
43,2022-07-18 14:38:27+00:00,Nadeem221,Nad-shak,@ImranRiazKhan @OfficialDPRPP His speech lacked substance. Need to move beyond rhetoric. People are in NO mood to forgive 25th May thuggery.  If illegal actions are not punished then no-one will invest in Pakistan..Punjab Police must be civilised
44,2022-07-18 14:38:25+00:00,dailypakistangl,Daily Pakistan Global,#realme9 4G goes on #sale in #Pakistan https://t.co/56k027fWEi https://t.co/Y1imKMHheU
45,2022-07-18 14:38:22+00:00,ayazjafree,Syed Ayaz Jafri,"@MaryamNSharif What a fate of this woman who doesn't know there is no foreign funding case. Bibi this is ""prohibited funding"" which had also said but IHC. This case will also win by PTI. Why @ECP_Pakistan is sleeping over the ""mehfooz faisla"".?"
46,2022-07-18 14:38:21+00:00,RiazJaved11,Riaz Javed,"Ø¶Ù…Ù†ÛŒ Ø§Ù†ØªØ®Ø§Ø¨Ø§Øª Ú©Ø§ Ù¾Ø±Ø§Ù…Ù† Ø§Ù†Ø¹Ù‚Ø§Ø¯ØŒ Ø¬Ú¾Ù†Ú¯ Ú©ÛŒ Ø¯ÙˆÙ†ÙˆÚº Ø³ÛŒÙ¹ÛŒÚº Ù¾ÛŒ Ù¹ÛŒ Ø§Ø¦ÛŒ Ú©Û’ Ø§Ù…ÛŒØ¯ÙˆØ§Ø±ÙˆÚº Ù†Û’ Ø¬ÛŒØª Ù„ÛŒÚº
@PTIofficial @pmln_org #ECP @ECP_Pakistan #ByElections2022 #PTI @thenews_intl #byelections https://t.co/WSt4bqzV02"
47,2022-07-18 14:38:19+00:00,Muhamma64920536,Dr Neuro Spinal Surgeon,"â€œThereâ€™s only one way ahead for Pakistan: free and fair electionsâ€-@ImranKhanPTI #Ø§Ù„ÛŒÚ©Ø´Ù†_Ú©Ù…Ø´Ù†Ø±_Ø§Ø³ØªØ¹ÙÛŒ_Ø¯Ùˆ https://t.co/LvDpTP8Qca
#Ø§Ù„ÛŒÚ©Ø´Ù†_Ú©Ù…Ø´Ù†Ø±_Ø§Ø³ØªØ¹ÙÛŒ_Ø¯Ùˆ"
48,2022-07-18 14:38:18+00:00,PakNeedLoyality,ğŸ‡µğŸ‡°LOnGğŸ’šLiVEğŸ’šPAKISTANğŸ‡µğŸ‡°,@ShahzadGill202 @TahirMughalPml2 Ù†Ø§Ù†ÛŒ 420 Ú©Ùˆ Ø¨Ú¾Ø§Ú¯ Ú¯Ø¦ Ø´Ø§ÛŒØ¯ Ú©Ø³ÛŒ Ú©Û’ Ø³Ø§ØªÚ¾
